stock_code,cluster,method,tag,score,dim,value,rank_in_group
300641.SZ,,latent_extreme,z5_bottom,-57.221256,z5,-57.221256,6
600519.SH,,latent_extreme,z5_bottom,-56.83022,z5,-56.83022,7
689009.SH,,latent_extreme,z5_bottom,-56.06302,z5,-56.06302,8
000736.SZ,,latent_extreme,z5_bottom,-55.74714,z5,-55.74714,9
300750.SZ,,latent_extreme,z5_bottom,-51.94577,z5,-51.94577,10
601061.SH,,latent_extreme,z5_top,47.82448,z5,47.82448,1
002862.SZ,,latent_extreme,z5_top,29.98033,z5,29.98033,2
000813.SZ,,latent_extreme,z5_top,29.88634,z5,29.88634,3
920092.BJ,,latent_extreme,z5_top,20.65229,z5,20.65229,4
688115.SH,,latent_extreme,z5_top,11.263763,z5,11.263763,5
300958.SZ,,latent_extreme,z5_top,8.86958,z5,8.86958,6
300612.SZ,,latent_extreme,z5_top,7.237668,z5,7.237668,7
300393.SZ,,latent_extreme,z5_top,7.062493,z5,7.062493,8
688418.SH,,latent_extreme,z5_top,4.6850777,z5,4.6850777,9
600121.SH,,latent_extreme,z5_top,4.659789,z5,4.659789,10
601061.SH,,latent_extreme,z6_bottom,-42.201233,z6,-42.201233,1
689009.SH,,latent_extreme,z6_bottom,-30.2178,z6,-30.2178,2
600941.SH,,latent_extreme,z6_bottom,-27.128105,z6,-27.128105,3
600519.SH,,latent_extreme,z6_bottom,-22.959415,z6,-22.959415,4
000736.SZ,,latent_extreme,z6_bottom,-22.476791,z6,-22.476791,5
002196.SZ,,latent_extreme,z6_bottom,-20.970968,z6,-20.970968,6
300641.SZ,,latent_extreme,z6_bottom,-20.776402,z6,-20.776402,7
603444.SH,,latent_extreme,z6_bottom,-20.248049,z6,-20.248049,8
300750.SZ,,latent_extreme,z6_bottom,-19.502914,z6,-19.502914,9
300972.SZ,,latent_extreme,z6_bottom,-18.812733,z6,-18.812733,10
002313.SZ,,latent_extreme,z6_top,18.122118,z6,18.122118,1
002862.SZ,,latent_extreme,z6_top,14.011361,z6,14.011361,2
600955.SH,,latent_extreme,z6_top,12.114123,z6,12.114123,3
002670.SZ,,latent_extreme,z6_top,11.517734,z6,11.517734,4
000980.SZ,,latent_extreme,z6_top,9.349008,z6,9.349008,5
300198.SZ,,latent_extreme,z6_top,7.793944,z6,7.793944,6
603021.SH,,latent_extreme,z6_top,7.696626,z6,7.696626,7
002816.SZ,,latent_extreme,z6_top,7.5058255,z6,7.5058255,8
000692.SZ,,latent_extreme,z6_top,6.681155,z6,6.681155,9
