stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
301079.SZ,7.0,cluster_rep,cluster_7_rep,0.2880156190610896,,,1367,cluster_7_rep
600602.SH,7.0,cluster_rep,cluster_7_rep,0.2922970970766977,,,1697,cluster_7_rep
603439.SH,7.0,cluster_rep,cluster_7_rep,0.22692449081248262,,,2107,cluster_7_rep
603580.SH,7.0,cluster_rep,cluster_7_rep,0.26849067954426636,,,2130,cluster_7_rep
603977.SH,7.0,cluster_rep,cluster_7_rep,0.08234332395724293,,,2224,cluster_7_rep
000595.SZ,,latent_extreme,z3_bottom,-2.1463218,z3,-2.1463218,3,z3_bottom|z7_bottom
000595.SZ,,latent_extreme,z7_bottom,-2.3330107,z7,-2.3330107,3,z3_bottom|z7_bottom
000656.SZ,,latent_extreme,z2_top,-0.039563715,z2,-0.039563715,5,z2_top
000692.SZ,,latent_extreme,z3_top,40.41445,z3,40.41445,10,z3_top|z6_top|z7_top
000692.SZ,,latent_extreme,z6_top,6.681155,z6,6.681155,9,z3_top|z6_top|z7_top
000692.SZ,,latent_extreme,z7_top,37.447334,z7,37.447334,8,z3_top|z6_top|z7_top
000695.SZ,,latent_extreme,z1_top,96.780754,z1,96.780754,4,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000695.SZ,,latent_extreme,z3_top,95.00241,z3,95.00241,2,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000695.SZ,,latent_extreme,z4_bottom,-23.018812,z4,-23.018812,1,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000695.SZ,,latent_extreme,z5_bottom,-128.46922,z5,-128.46922,1,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000695.SZ,,latent_extreme,z7_top,71.96434,z7,71.96434,2,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000695.SZ,,latent_extreme,z8_top,48.8562,z8,48.8562,2,cluster_5_rep|z1_top|z3_top|z4_bottom|z5_bottom|z7_top|z8_top
000736.SZ,,latent_extreme,z5_bottom,-55.74714,z5,-55.74714,9,z5_bottom|z6_bottom|z8_top
000736.SZ,,latent_extreme,z6_bottom,-22.476791,z6,-22.476791,5,z5_bottom|z6_bottom|z8_top
000736.SZ,,latent_extreme,z8_top,12.861377,z8,12.861377,9,z5_bottom|z6_bottom|z8_top
000813.SZ,,latent_extreme,z2_bottom,-75.345795,z2,-75.345795,6,cluster_6_rep|z2_bottom|z4_top|z5_top|z8_bottom
000813.SZ,,latent_extreme,z4_top,33.532608,z4,33.532608,3,cluster_6_rep|z2_bottom|z4_top|z5_top|z8_bottom
