,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
revenue_ps,0.13746764795939692,0.4319226728214499,-0.05503938128496257,-0.0761114779987034,-0.1899009641550736,0.23579554458718086,-0.12044882735987233,0.18734202928705035,0.15517897018584464,0.057428325576738666,-0.07365291035752575,0.029801279282401234,0.04083513476764824,-0.2224926840640662,-0.09214220248218169,0.18424869496122506,-0.14735874452254352,-0.10853893492936874,0.1488332899472427,0.04686920459065073
extra_item,0.1165498596588811,0.3085807080394858,0.011101203449529959,0.016768785448531692,0.03010644980224647,-0.21544024640313025,-0.11147737458080942,0.10057736774819517,-0.40953283113711564,-0.007343878746231006,-0.15881242326011882,0.3895527862479284,0.10085564657289996,0.2460569159858186,0.20622372369929465,-0.25701037238351415,-0.12010836560723402,-0.4729004939123366,-0.020072069077983923,0.18216009110626669
ar_turn,0.053344328136383484,0.12670472203889813,0.0875489802121577,0.17627100703309892,-0.13871680414679452,0.10196908248057647,-0.3575866084732778,-0.26120857850635754,0.02701969954147225,-0.21264457317102078,0.45532726334872736,-0.20128313989451227,-0.38027409136410306,-0.12257891970967748,0.3620051943061525,-0.25704845286633765,0.17196132411359716,-0.12223685012081516,0.0838769683218624,0.06402120342426675
ca_turn,0.09636476583084388,0.20708498935677466,0.2703585916013841,0.15257012815104373,-0.2536738735116708,0.3160896209252108,-0.28837828007407745,-0.14445153534784222,0.06904084957454651,0.020093576728873443,-0.006012288572110782,0.12933437361673372,0.10687731589991653,-0.06188408085391935,-0.3132753647953433,-0.010775338430807949,-0.25490661857564506,0.05813619449765091,-0.17974351381586226,-0.05587893893629652
fa_turn,0.0037934843452087177,0.12186591469362688,-0.06344333211996693,-0.16958498831748456,0.10195978204830974,0.36131435088564734,-0.255325339000158,-0.1619745850052743,0.115358443885346,0.3491547664857681,0.0033335806552660893,-0.14628421559008686,0.4011051885041672,0.43995571252135784,0.35543301952155487,0.10101624963657148,0.08553728442644706,0.11462859673092718,-0.021014199831609688,0.03132094277502652
op_income,0.12675277350377553,0.3471366848463022,-0.00010389082052379574,0.18203699923638503,0.09495558049683607,-0.09375923998504046,-0.06848573422705276,0.1526293137861907,-0.3370517545087495,-0.16469265982348055,-0.014915386594108848,-0.00450937279155982,-0.16967010512114214,0.2573497219625111,0.02569953278736397,0.1328815776628318,0.14786157442758668,0.5935677016328836,-0.19781320176008177,-0.21117653717741725
working_capital,0.07233424378791108,0.3107065448323118,-0.2996444904622435,-0.056199658274854646,0.24365254787664475,-0.2798758619041676,-0.022742139734613663,-0.29569840624785065,0.06719475654046443,-0.03705802044303173,0.05577690688575695,0.03592644106118956,0.0028113630866068128,-0.05921315802477026,-0.027493748852766536,0.055015182654298396,-0.03413156297408032,0.022429215610801283,-0.11520049349742453,-0.008522892514128924
networking_capital,0.04315554456865729,0.29923876547525613,-0.19775306582225124,-0.13205496150095225,0.23782136065198847,-0.29047079409409743,-0.006563667929836098,-0.33249133930444347,0.2404213151689171,0.032555201614127866,0.13214500644036223,-0.026503845748046692,0.09535486913848402,-0.17028287547554447,-0.21472202112133187,-0.1054446621027532,-0.13037295582595274,0.03885512888066975,-0.03534418942285868,-0.04539163839905216
bps,0.11958319842988115,0.24136055612510343,-0.28535173193159685,0.03222354928867909,-0.25410898470962506,-0.060114037498426406,0.1221228950535774,0.37672920853948555,0.11460021289294123,-0.008940534778583607,-0.017590067329293763,-0.13317538023525863,-0.12007745377898085,-0.172141721870152,0.2993721234523932,0.3672285645271347,-0.019720898285239315,-0.05999560152951775,0.07714117094061167,0.12271971251446741
cfps,0.08220113062579854,0.04914030233524629,0.11610111771603945,0.19998312752000455,0.21383507035793353,0.25558673117791486,0.36307669559076206,-0.24441282360099245,-0.1326616852841933,-0.14904754069463255,-0.1638115648400233,0.06672843918204291,0.1593048817337875,-0.3532906561583998,0.426396086047114,0.011099223968839549,-0.3528500723383085,0.1723607755918824,0.1164007157473154,-0.09985780360574545
fcff_ps,0.036488105160287526,-0.13443910317583996,-0.0771907846138219,0.2898422352242706,0.38710980124845756,0.20898223934935417,-0.1372227255662141,-0.23374064619578103,-0.19746681831257365,-0.09705190160502188,-0.09496516562033509,0.07896212830379079,-0.12392249702007117,0.015734462950438843,-0.15000721677000697,0.4118819984109603,0.12264036246356555,-0.16607749561851054,0.21965754322089706,0.31165081857742677
